Tax Year,Date Filed,Parcel Number,Nickname ,Use of Property,Basis for Petition ,Method of Valuation,Petition Completed by: ,Full Cash Value (FCV) By owner,Limited Property Value (LPV) by owner,FCV by Notice,LPV by Notice,Assessor's Decision (FCV),Assessor's Decision (LPV),Basis for Decision,Reviewed by:,Outcome (i.e. Granted in Full / Granted in Part / No Change),Details of Outcome,FCV %,LPV %,outcome_FCV,outcome_LPV
Not listed,3/15/1977,105-20-004,MORGAN,N/A,"This improvement was a lovely house at one time, adobe plastered. A reduction was granted in 1977 to $20,000. There is no insulation in the attic, it was rented last to a group of ""Truck Brokers"" who played dart games with the interior walls. Doors have been pulled off hinges, some without knobs, the sceptice tank cannot handle the load. During the past year it was rented off and on for an average of between $100 and $150 per month. Fire insurance was cancelled by the insurance company for apparently the same reasons listed above. We invite your inspection and verification of this statement. Thank you for your review. ",N/A,"Morgan, Matha Rooks Et al",15000,,23545,,20000,,N/A,N/A,Granted in Part,Very limited reduction of 15% for both FCV and no change on LPV,15,0,Granted in Part,Granted in Part
Not listed,3/15/1978,105-22-023,DRIVE INN,N/A,WE did not make any improvements. As a matter of fact the buildings &  equipment are in worse condition now. ,Improvements ,Stabropulos Tifon - Panosopoulos Atanasio,17000,36220,17000,69891,,50320,Flooding problems,N/A,Granted in part,Half-Way in between request and outcome (28% change on FCV),28,,Granted in Part,Granted in Part
Not listed,1/19/1979,105-22-023,DRIVE INN,Income Producing,"The buildings are in poor condition. This property is used as a drive in theater and floods when it rains. Due to the poor condition, the drive-in lease has not been renewed. ",Improvements ,Atanasio  Panosopoulos,37000,17000,84168,17000,47000,17000,"Almost complete economic obsolescence ""300"" income form not filed",N/A,Granted in part,Very close to Granted in Full; (45% reduced on FCV),45,,Granted in Part,Granted in Part
Not listed,2/3/1979,105-20-004,MORGAN,N/A,"This improvement at one time was a lovely home, adobe plastered over. It has been rented to a succession of tenants who have torn out doors, played dart games on the walls. There is no insulation in the roof and the fire insurance carrier has cancelled the fire insurance claiming the building is unsafe. We invite your inspection and review of this property and we feel certain you will agree that the valuation placed on it is too high. Thank you. ",N/A,"Morgan, Matha Rooks Et al",15000,,27107,,18000,,N/A,N/A,Granted in Part,Very close to Granted in Full; (34% reduced on FCV / no change on LPV),34,0,Granted in Part,Granted in Part
Not listed,2/12/1980,102-01-035,1967 N. Grand ,Income Producing,Assessor has not informed taxpayer of 1982 values. Assesor has not responded to tazpayers request for 1982 values. ,Market,John Muff,178371,52000,187176,139738,187176,139738,"This parcel involves the parking area in the shopping center. The parcel that involves the K-MART building is 102-00-003 IPR, the value of which is $560,376. Notification of values has gone to the Jaren Corp in Scottsdale, AZ.",N/A,No change,,0,0,No Change,No Change
Not listed,2/12/1980,105-22-023,DRIVE INN,Income Producing,Under the terms of the lease the operator pays the taxes. Since both the owner and operator loose money as the situation is now increasing the taxes by 100% will only asure that Nogales will be left without a movie theater. ,Improvements ,Stabropulos Tifon,47000,30000,91192,74192,,30000,N/A,N/A,Granted in full ,improvements were granted fully (60%),60,,Granted in Full,Granted in Full
Not listed,5/7/1980,105-20-004,MORGAN,N/A,"The dwelling is not worth the new evaluation because it is over 60 years old, is completely obsolete and has deteriorated badly. It has had nothing done to it except bare maintenance for 30 years. ",N/A,Martha Rooks Morgan & Shirley Rooks Nunziato,29793,,49695,,40426,,R-4 minimum,N/A,Granted in Part,Half-Way in between request and outcome (19% reducted on FCV and no change on LPV),19,0,Granted in Part,Granted in Part
Not listed,2/12/1981,105-22-023,DRIVE INN,Income Producing,"This property was leased to a Phoenix company, as a drive in theater. They have been loosing money for the last 3 years finally during 1980 they abandoned the property after they pretty much destroyed everything. It does not seem that it will ever operate as a theater. Plans are made to level the building off. your personal inspection would be appreciated. No reason for increase since complete loss of income. ",N/A,Stabropulos Tifon,52000,35000,135837,118837,129288,112288,N/A,N/A,Granted in part,Very limited reduction of 5% on FCV ,5,,Granted in Part,Granted in Part
Not listed,2/25/1981,114-50-012,RIO RICO PLAZA ,Land & Home Sales,"The shopping center has been increased $172,203 over the 1980 full cash value. Avatar (GAC) has a total book value of only $878,972 on the shopping center of $129,553 less than the New 1981 assessment of $1,018,525. Note: I (Avatar) did not receive a ""notice of valuation"" card for the shopping center - got information VIA telephone",N/A,GAC Properties Credit Inc. ,878972,843644,1018525,930800,1018525,930800,The property was updated by dept of revenue using the new construction cost. ,N/A,No change,,0,0,No Change,No Change
Not listed,2/14/1983,105-22-023,DRIVE INN,N/A,Valuation should be lowered and not raised. Last year the only drive-in theater in Nogales was closed because of ever increasing taxation. Now only the little building plus one acre of lamd is used while the remaining 90% of land is vacant. Please compare it to adjacent vacant land. ,Full Cash Value / Limited Value / Legal Classification,Atanasio  Panosopoulos - Trifon Stabropulos,75000,30000,196549,96055,72593,56493,Improvement recalculated and removed a class 251 and added a class 50 for a new Full Cash Value ,N/A,Granted in part,Fully Granted FCV (63%) and 41% reduction on LPV,63,41,Granted in Part,Granted in Part
