PARCEL #,PROPERTY,SDU,TOTAL FCV 2014,LIMITED VALUE 2014,TOTAL FCV 2015,LIMITED VALUE 2015,TOTAL FCV 2016,LIMITED VALUE 2016,FCV VARIANCE,LPV VARIANCE,County
10127023,K-RANCH,S,24000,24000,24000,24000,24000,24000,0,0,NPM #1 SANTA CRUZ
10127024,K-RANCH,S,94057,94057,88551,88551,92978,96870,4427,-5506,NPM #1 SANTA CRUZ
10130009,K-RANCH,S,11700,11700,11700,11700,11700,11700,0,0,NPM #1 SANTA CRUZ
10143108A 7,WS APTS,S,90265,90265,90265,90265,91123,91123,858,,NPM #1 SANTA CRUZ
10145078,CRAWFORT LOTS,S,5650,5650,5650,5650,5650,5650,0,0,NPM #1 SANTA CRUZ
10146055,CHURCH,S,87450,87450,87450,87450,87450,87450,0,0,NPM #1 SANTA CRUZ
10149022,MORLEY CROSS RD,S,224212,224212,224212,224212,225783,225783,1571,1571,NPM #1 SANTA CRUZ
10213006E,BV APTS,S,42960,42960,42960,42960,42960,42960,0,0,NPM #1 SANTA CRUZ
10522008D,MH-NORTHCROSS,S,760,760,760,760,760,760,0,0,NPM #1 SANTA CRUZ
10522013,DRIVE INN  ANNIE'S,S,21562,21562,21562,21562,21562,21562,0,0,NPM #1 SANTA CRUZ
10522027,MH (OFFICES),S,256961,256961,256961,256961,236544,236544,-20417,-20417,NPM #1 SANTA CRUZ
10201005 7,BIRD HILL M.H.P/AUG '04,D,262926,262733,251139,250344,247027,247027,-4112,-12389,NPM #1 SANTA CRUZ
10201005A,BIRD HILL M.H.P 35 ACRES,D,84144,83981,65616,65370,52460,52406,-13156,-12964,NPM #1 SANTA CRUZ
10201012A 6,VETERANS/SEPT'04,S,1074625,1074625,1074625,1074625,1070797,1069070,-3828,-5555,NPM #1 SANTA CRUZ
10201036A 6,PRESTON M.H.P./APR.'04,S,1291120,1291120,1291120,1291120,1265342,1265342,-25778,-25778,NPM #1 SANTA CRUZ
10201036B,2085 N GRAND/MINI STORAGE,S,1121024,1121024,1121024,1121024,1116283,1116283,-4741,-4741,NPM #1 SANTA CRUZ
10201038,LAS PALMAS,S,566213,566213,566213,566213,566213,566213,0,0,NPM #1 SANTA CRUZ
10201083 3,MASTICK WAY,S,223463,223463,223463,223463,223463,223463,0,0,NPM #1 SANTA CRUZ
10201088,RRR LOT B,S,44649,44649,44649,44649,446949,446949,0,0,NPM #1 SANTA CRUZ
10201089,RRR LOT C,U,282124,282124,282124,282124,289132,289132,7008,7008,NPM #1 SANTA CRUZ
10201098D 3,VETERANS/SEPT'04,S,331632,331632,331632,331632,330849,330849,-783,-783,NPM #1 SANTA CRUZ
10202009 2,KORY WAREHOUSE,S,202336,202336,202336,202336,205064,205064,2728,2728,NPM #1 SANTA CRUZ
10204010E 5,MARIPOSA  I,S,176550,176550,176550,176550,176550,176550,0,0,NPM #1 SANTA CRUZ
10204019A 6,M I P    II,S,235050,235050,235050,235050,229229,229229,-5821,-5821,NPM #1 SANTA CRUZ
10204019B 5,M I P    II,S,486613,486613,486613,486613,522949,510943,36336,24330,NPM #1 SANTA CRUZ
10204024A 0,M I P    II,S,1349038,1349038,1349038,1349038,1349038,1349038,0,0,NPM #1 SANTA CRUZ
