PARCEL #,PROPERTY,TOTAL FCV 2017,TOTAL FCV 2017,FCV VARIANCE,LIMITED VALUE 2017,LIMITED VALUE 2018,LPV VARIANCE,County
10127023,K-RANCH,24000,24000,0,24000,24000,0,NPM #1 SANTA CRUZ
10127024,K-RANCH,96351,100792,4441,96351,100792,4441,NPM #1 SANTA CRUZ
10130009,K-RANCH,11700,11700,0,11700,11700,0,NPM #1 SANTA CRUZ
10143108A 7,WS APTS,76123,78830,2707,76123,78830,2707,NPM #1 SANTA CRUZ
10145078,CRAWFORT LOTS,5650,5650,0,5650,5650,0,NPM #1 SANTA CRUZ
10146055,CHURCH,87450,87450,0,87450,87450,0,NPM #1 SANTA CRUZ
10149022,MORLEY CROSS RD,224332,247815,23483,224332,235549,11217,NPM #1 SANTA CRUZ
10213006E,BV APTS,42960,42960,0,42960,42960,0,NPM #1 SANTA CRUZ
10522008D,MH-NORTHCROSS,760,760,0,760,760,0,NPM #1 SANTA CRUZ
10522013,DRIVE INN  ANNIE'S,21562,39204,17642,21562,22640,1078,NPM #1 SANTA CRUZ
10522027,MH (OFFICES),231341,271029,39688,231341,242908,11567,NPM #1 SANTA CRUZ
10201005 7,BIRD HILL M.H.P/AUG '04,247359,260420,13061,243246,255408,12162,NPM #1 SANTA CRUZ
10201005A,BIRD HILL M.H.P 35 ACRES,52000,53577,1577,50888,53432,2544,NPM #1 SANTA CRUZ
10201012A 6,VETERANS/SEPT'04,1025695,1108846,83151,1012977,1063626,50649,NPM #1 SANTA CRUZ
10201034B,SANCHEZ - W 156 MARIPOSA,405603,435250,29647,405603,425883,20280,NPM #1 SANTA CRUZ
10201036A 6,PRESTON M.H.P./APR.'04,1261518,1288607,27089,1261518,1288607,27089,NPM #1 SANTA CRUZ
10201036B,2085 N GRAND/MINI STORAGE,1086811,1170246,83435,1086811,1141152,54341,NPM #1 SANTA CRUZ
10201038,LAS PALMAS,566213,3168171,2601958,566213,594524,28311,NPM #1 SANTA CRUZ
10201083 3,MASTICK WAY,223463,223463,0,223463,223463,0,NPM #1 SANTA CRUZ
10201088,RRR LOT B,44649,44649,0,44649,44649,0,NPM #1 SANTA CRUZ
10201089,RRR LOT C - 2047 OCEAN GARDEN DR (DESERT SKY),278203,306061,27858,278203,292113,13910,NPM #1 SANTA CRUZ
10201098D 3,VETERANS/SEPT'04,681836,748769,66933,671465,705038,33573,NPM #1 SANTA CRUZ
10202009 2,KORY WAREHOUSE,202416,212141,9725,202416,212141,9725,NPM #1 SANTA CRUZ
10203008G,SAN FELIPE LOTS,10000,10000,0,10000,10000,0,NPM #1 SANTA CRUZ
10203008H,SAN FELIPE LOTS,500,500,0,500,500,0,NPM #1 SANTA CRUZ
10203018A,SAN FELIPE LOTS,52194,52194,0,52194,52194,0,NPM #1 SANTA CRUZ
10203021B,SAN FELIPE LOTS,55242,55242,0,55242,55242,0,NPM #1 SANTA CRUZ
10203022,SAN FELIPE LOTS,30051,30051,0,30051,30051,0,NPM #1 SANTA CRUZ
10204002A,ESCALADA 200 ACRES - CIMARRON ,,,,,,,NPM #1 SANTA CRUZ
10204010E 5,MARIPOSA  I,176550,176550,0,176550,176550,0,NPM #1 SANTA CRUZ
10204019A 6,M I P    II,225291,240123,14832,225291,236556,11265,NPM #1 SANTA CRUZ
10204019B 5,M I P    II,478073,496193,18120,478073,496193,18120,NPM #1 SANTA CRUZ
10204024A 0,M I P    II - 1200 W IND PARK STE C (ACESSUM),1349038,1409094,60056,1349038,1409094,60056,NPM #1 SANTA CRUZ
10204043A 5,M I P    I - 1481 N IND PARK DR 3 (R.L.R.),612962,670575,57613,612962,643610,30648,NPM #1 SANTA CRUZ
10204044C 6,M I P    III,455879,457866,1987,455879,457866,1987,NPM #1 SANTA CRUZ
10204048A,"MIP II - 1140 W MARIPOSA IND PARK (ARIVEL, TWIN PLANT)",489094,565084,75990,482722,506858,24136,NPM #1 SANTA CRUZ
10204051,MARIPOSA IND. PARK LOT 12 - 1270 N INDUSTRIAL PARK AVE,1452272,1578187,125915,1452272,1524886,72614,NPM #1 SANTA CRUZ
10204052,MARIPOSA IND. PARK LOT 13 - 1171 N INDUSTRIAL PARK DR,537839,589358,51519,537839,564731,26892,NPM #1 SANTA CRUZ
10206017 7,130 W. WHITE RD./SONIC P 5/14/09,293590,293590,0,293590,293590,0,NPM #1 SANTA CRUZ
10206018 0,120 W. WHITE RD./CRISPY F. P.2/17/09,328243,347812,19569,328243,344655,16412,NPM #1 SANTA CRUZ
10207043A,861 W CIARDULLI PL,240406,262791,22385,239980,251979,11999,NPM #1 SANTA CRUZ
10213017,HOLLER,46022,46022,0,46022,46022,0,NPM #1 SANTA CRUZ
10213020,BUENA VISTA APTS.,898112,925778,27666,898112,925778,27666,NPM #1 SANTA CRUZ
10306007,NOGALES DEVELOPMENT - (GRAZING),4379,218970,214591,4379,207882,203503,NPM #1 SANTA CRUZ
10309014,K-RANCH,30432,30432,0,30432,30432,0,NPM #1 SANTA CRUZ
10310017D,ROYAL RD RANCH,4605,4605,0,4605,4605,0,NPM #1 SANTA CRUZ
10310024A,K-RANCH - 870 N PERKINS AVE (SUNSHINE PRESCHOOL),277513,344978,67465,277513,291389,13876,NPM #1 SANTA CRUZ
10310026 1,K-RANCH,758,758,0,758,758,0,NPM #1 SANTA CRUZ
10507003E,NORAH'S RCH E1/2 294 OLD TUCSON RD,,,0,,,0,NPM #1 SANTA CRUZ
10508004,NORAH'S RANCH SE,4091,4091,0,4091,4091,0,NPM #1 SANTA CRUZ
10520003,CANYON APT,359414,392766,33352,359414,377385,17971,NPM #1 SANTA CRUZ
10520004A 9,MORGAN *                   FLOOD PLANE,2542340,2632461,90121,2542340,2632461,90121,NPM #1 SANTA CRUZ
10520008 2,CANYON HOUSE/RANCH HOUSE,446252,455296,9044,349843,367335,17492,NPM #1 SANTA CRUZ
10520009C 2,PK OLD HSE *,121451,121451,0,118064,121451,3387,NPM #1 SANTA CRUZ
10520009G ,PK RANCH,1000,1000,0,1000,1000,0,NPM #1 SANTA CRUZ
10520009K 1,CASITA PROKTER,85277,85277,0,85277,85277,0,NPM #1 SANTA CRUZ
