PARCEL #,PROPERTY,TOTAL FCV 2024,TOTAL FCV 2025,FCV VARIANCE 2425,LIMTED VALUE 2024,LIMTED VALUE 2025,LPV VARIANCE 2425,TOTAL FCV 2023,TOTAL FCV 2024,FCV VARIANCE 2324,LIMTED VALUE 2023,LIMTED VALUE 2024,LPV VARIANCE 2324,TOTAL FCV 2022,TOTAL FCV 2023,FCV VARIANCE 2223,LIMTED VALUE 2022,LIMTED VALUE 2023,LPV VARIANCE 2223,TOTAL FCV 2021,TOTAL FCV 2022,FCV VARIANCE 2122,TOTAL FCV 2020,TOTAL FCV 2O21,FCV VARIANCE 2021,TOTAL FCV 2019,TOTAL FCV 2020,FCV VARIANCE 1920,TOTAL FCV 2018,TOTAL FCV 2019,FCV VARIANCE 1819,LIMITED VALUE 2017,LIMITED VALUE 2018,TOTAL FCV 2019,LPV VARIANCE 1718,County
10127023,K RANCH-PATAGONIA HWY,24000,24000,0,24000,24000,0,24000,24000,0,24000,24000,0,24000,24000,0,24000,24000,0,24000,24000,0,24000,24000,0,24000,24000,0,24000,24000,0,24000,24000,24000,0,NPM #1 SANTA CRUZ
10127024,K RANCH-PATAGONIA HWY,132285,134585,2300,118952,124900,5948,125832,132285,6453,113288,118952,5664,107893,125832,17939,107893,113288,5395,106350,107893,1543,106254,106350,96,103294,106254,2960,100792,103294,2502,96351,100792,103294,2502,NPM #1 SANTA CRUZ
10130009,K RANCH-N PERKINS AVE SUB BARRY LOT 5,11700,11700,0,11700,11700,0,11700,11700,0,11700,11700,0,11700,11700,0,11700,11700,0,11700,11700,0,11700,11700,0,11700,11700,0,11700,11700,0,11700,11700,11700,0,NPM #1 SANTA CRUZ
10143108A 7,WS APTS - 180 N WEST ST,142754,141607,-1147,95316,100082,4766,140031,142754,2723,90777,95316,4539,107499,140031,32532,86455,90778,4323,82338,107499,25161,82551,82338,-213,79323,82551,3228,78830,79323,493,76123,78830,79323,493,NPM #1 SANTA CRUZ
10145078,CRAWFORT LOTS,5650,5650,0,5650,5650,0,,,0,,,0,5650,5650,0,5650,5650,0,5650,5650,0,5650,5650,0,5650,5650,0,5650,5650,0,5650,5650,5650,0,NPM #1 SANTA CRUZ
10146055,CHURCH - 39 N SONOITA AVE,87450,87450,0,87450,87450,0,87450,87450,0,87450,87450,0,87450,87450,0,87450,87450,0,87450,87450,0,87450,87450,0,87450,87450,0,87450,87450,0,87450,87450,87450,0,NPM #1 SANTA CRUZ
10149022,MORLEY CROSS RD- 338 N MORLEY AVE,359017,364482,5465,303950,319148,15198,293869,359017,65148,289476,303950,14474,275692,293869,18177,275692,289477,13785,269496,275692,6196,262364,269496,7132,252909,262364,9455,247815,252909,5094,224332,235549,247326,11777,NPM #1 SANTA CRUZ
10213006E,BV APTS (SOUTH OF),42960,42960,0,42960,42960,0,42960,42960,0,42960,42960,0,42960,42960,0,42960,42960,0,42960,42960,0,42960,42960,0,42960,42960,0,42960,42960,0,42960,42960,42960,0,NPM #1 SANTA CRUZ
10522008D,BATTING CAGES/MH NORTHCROSS -Added 1.30.19,166833,166833,0,166833,166833,0,166833,166833,0,166833,166833,0,166833,166833,0,166833,166833,0,193093,197467,4374,191122,193093,1971,760,760,0,760,760,0,760,760,760,0,NPM #1 SANTA CRUZ
10522013,DRIVE INN ANNIE'S - 3255 N GRAND AVE,39204,39204,0,30340,31857,1517,39204,39204,0,28895,30340,1445,39204,39204,0,27519,28895,1376,39204,39204,0,39204,39204,0,39204,39204,0,39204,39204,0,21562,22640,23772,1132,NPM #1 SANTA CRUZ
10522027,MH-(OFFICES) - 3131 N GRAND AVE,355106,313371,-41735,319932,313371,-6561,309825,352525,42700,304697,319932,15235,290188,309825,19637,290188,304697,14509,288724,290188,1464,284647,288724,4077,268101,284647,16546,271029,268101,-2928,231341,242908,255053,12145,NPM #1 SANTA CRUZ
10201005 7,BIRD HILL M.H.P/AUG '04 - 2133 N GRAND AE,313190,321019,7829,293026,307677,14651,279072,313190,34118,279072,293026,13954,274540,279072,4532,274540,279072,4532,272146,274540,2394,268091,272146,4055,263550,268091,4541,260420,263550,3130,243246,255408,263550,8142,NPM #1 SANTA CRUZ
10201005A,BIRD HILL M.H.P. 33 ACRES - 2085 N GRAND AVE,77367,75850,-1517,65310,68576,3266,66306,77367,11061,62200,65310,3110,59238,66306,7068,59238,62200,2962,57599,59238,1639,58162,57599,-563,55350,58162,2812,53577,55350,1773,50888,53432,55350,1918,NPM #1 SANTA CRUZ
10201012A 6,VETERANS/SEPT'04 - 570 W MARIPOSA RD,1989047,1734079,-254968,1304767,1370005,65238,1282593,1989047,706454,1242635,1304767,62132,1282815,1282815,0,1282815,1282815,0,1405092,1412938,7846,1121547,1152181,30634,1095029,1121547,26518,1108846,1095029,-13817,1012977,1063626,1095029,31403,NPM #1 SANTA CRUZ
10201034B,SANCHEZ 156 W MARIPOSA RD,541336,545645,4309,418615,439546,20931,411501,541336,129835,398681,524286,125605,411501,411501,0,395485,398681,3196,462366,470821,8455,454780,462366,7586,442535,454780,12245,435250,442535,7285,405603,425883,442535,16652,NPM #1 SANTA CRUZ
10201036A 6,"PRESTON M.H.P./APR.'04 * -          $1,317,578",1401874,1414775,12901,1299174,1364134,64960,1237309,1401874,164565,1237309,1299174,61865,1237309,1237309,0,1237309,1237309,0,1312713,1317578,4865,1304246,1312713,8467,1294848,1304246,9398,1288607,1294848,6241,1261518,1288607,1294848,6241,NPM #1 SANTA CRUZ
10201036B,2085 N GRAND/MINI STORAGE,1532820,1398661,-134159,1265483,1328757,63274,1277668,1532820,255152,1205223,1265483,60260,1147831,1277668,129837,1147831,1205223,57392,1147831,1147831,0,1212625,1247987,35362,1180926,1212625,31699,1170246,1180926,10680,1086811,1141152,1180926,39774,NPM #1 SANTA CRUZ
10201038,LAS PALMAS - 2050 N. SMOOKEY LN,4734371,4517953,-216418,796717,836553,39836,3753035,4734371,981336,758778,796717,37939,3463141,3753035,289894,722646,758778,36132,3437243,3463141,25898,3298144,3437243,139099,3186382,3298144,111762,3168171,3186382,18211,566213,594524,624249,29725,NPM #1 SANTA CRUZ
10201083 3,MASTICK WAY - 81 W. MARIPOSA WAY,223463,223463,0,223463,223463,0,223463,223463,0,223463,223463,0,223463,223463,0,223463,223463,0,223463,223463,0,223463,223463,0,223463,223463,0,223463,223463,0,223463,223463,223463,0,NPM #1 SANTA CRUZ
10201088,RRR LOT B - OCEAN GARDEN DR,44649,44649,0,44649,44649,0,44649,44649,0,44649,44649,0,44649,44649,0,44649,44649,0,44649,44649,0,44649,44649,0,44649,44649,0,44649,44649,0,44649,44649,44649,0,NPM #1 SANTA CRUZ
10201089,RRR LOT C - 2047 OCEAN GARDEN DR (DESERT SKY),434094,388551,-45543,355831,373623,17792,348104,434094,85990,338887,355831,16944,322749,348104,25355,322749,338886,16137,319559,322749,3190,307585,319559,11974,304311,307585,3274,306061,304311,-1750,278203,292113,304311,12198,NPM #1 SANTA CRUZ
